id,paintjobFamilies,weaponIds,spriteMap
mistral_sparrow_shoulderR_traitor,stripeless,mistral_sparrow_shoulderR,"graphics/ships/sparrow/mistral_sparrow_shoulderR_purp.png -> graphics/ships/sparrow/mistral_sparrow_shoulderR.png"
mistral_hummingbird_shoulderL_traitor,stripeless,mistral_hummingbird_shoulderL,"graphics/ships/hummingbird/mistral_hummingbird_shoulderL_purp.png -> graphics/ships/hummingbird/mistral_hummingbird_shoulderL.png"
mistral_hummingbird_shoulderR_traitor,stripeless,mistral_hummingbird_shoulderR,"graphics/ships/hummingbird/mistral_hummingbird_shoulderR_purp.png -> graphics/ships/hummingbird/mistral_hummingbird_shoulderR.png"
mistral_small_dummy_launcher_traitor,stripeless,mistral_small_dummy_launcher,"graphics/DRA/weapons/diableavionics_micromissile_turret.png -> graphics/da/weapons/diableavionics_micromissile_turret.png, graphics/DRA/weapons/diableavionics_micromissile_hardpoint.png -> graphics/da/weapons/diableavionics_micromissile_hardpoint.png"
mistral_nightingaleLeftArm_traitor,stripeless,mistral_nightingaleLeftArm,"graphics/ships/nightingale/mistral_nightingaleLeftArm_purp.png -> graphics/ships/nightingale/mistral_nightingaleLeftArm.png"
mistral_nightingaleRightArm_traitor,stripeless,mistral_nightingaleRightArm,"graphics/ships/nightingale/mistral_nightingaleRightArm_purp.png -> graphics/ships/nightingale/mistral_nightingaleRightArm.png"
mistral_nightingaleHead_traitor,stripeless,mistral_nightingaleHead,"graphics/ships/nightingale/mistral_nightingalehead_purp.png -> graphics/ships/nightingale/mistral_nightingalehead.png"
mistral_sparrowLeftArm_traitor,stripeless,mistral_sparrowLeftArm,"graphics/ships/sparrow/mistral_sparrowLeftArm_purp.png -> graphics/ships/sparrow/mistral_sparrowLeftArm.png"
mistral_sparrowRightArm_traitor,stripeless,mistral_sparrowRightArm,"graphics/ships/sparrow/mistral_sparrowRightArm_purp.png -> graphics/ships/sparrow/mistral_sparrowRightArm.png"
mistral_hummingbirdLeftArm_traitor,stripeless,mistral_hummingbirdLeftArm,"graphics/ships/hummingbird/mistral_hummingbirdLeftArm_purp.png -> graphics/ships/hummingbird/mistral_hummingbirdLeftArm.png"
mistral_hummingbirdRightArm_traitor,stripeless,mistral_hummingbirdRightArm,"graphics/ships/hummingbird/mistral_hummingbirdRightArm_purp.png -> graphics/ships/hummingbird/mistral_hummingbirdRightArm.png"
