name,gender,usage,category
Yurba,,f,mistral
Yushamin,,f,mistral
Zachariel,,f,mistral
Zadkiel,,f,mistral
Zagagel,,f,mistral
Zaphkiel,,f,mistral
Zaqiel,,f,mistral
Zebuleon,,f,mistral
Zephaniel,,f,mistral
Zephon,,f,mistral
Zeruel,,f,mistral
Zihrun,,f,mistral
Zotiel,,f,mistral
Zuriel,,f,mistral
One-who-serves-behind-the-throne,,l,mistral
The-flames-which-dance-around-the-throne-of-god,,l,mistral
Aneda,,l,mistral
Angel-of-the-stars,,l,mistral
Arkwright,,l,mistral
Bandler,,l,mistral
Barebones,,l,mistral
Barley,,l,mistral
Basumatary,,l,mistral
Beauty-of-god,,l,mistral
Beloved,,l,mistral
Benediction-of-god,,l,mistral
Bijl,,l,mistral
Bitter-star,,l,mistral
Bolt,,l,mistral
Bondar,,l,mistral
Borozan,,l,mistral
Brazier,,l,mistral
Buckler,,l,mistral
Burdock,,l,mistral
Calderone,,l,mistral
Carder,,l,mistral
Care-taking-one,,l,mistral
Carnera,,l,mistral
Cedars,,l,mistral
Chaparral,,l,mistral
Charbonnier,,l,mistral
Chayat,,l,mistral
Cherish-life,,l,mistral
Chervil,,l,mistral
Chive,,l,mistral
Cioban,,l,mistral
Cloud-of-god,,l,mistral
Clove,,l,mistral
Cress,,l,mistral
Curse-of-god,,l,mistral
Cutler,,l,mistral
Cypress,,l,mistral
Dawn,,l,mistral
Dawn-bringer,,l,mistral
Dawn-of-god,,l,mistral
Day-of-god,,l,mistral
Day-star,,l,mistral
Dazzling-radiance,,l,mistral
Destroyer,,l,mistral
Earth-of-god,,l,mistral
Exalter-of-god,,l,mistral
Fear-of-god,,l,mistral
Fennel,,l,mistral
Flaming-light-of-god,,l,mistral
Flax,,l,mistral
Flock-of-god,,l,mistral
Forbearance-of-god,,l,mistral
Fullness-of-god,,l,mistral
Galangal,,l,mistral
Gardener,,l,mistral
God-has-blessed,,l,mistral
God-has-judged,,l,mistral
God-is-beautiful,,l,mistral
God-is-favorable,,l,mistral
God-is-forbearing,,l,mistral
God-is-gracious,,l,mistral
God-is-hidden,,l,mistral
God-is-joyous,,l,mistral
God-is-majestic,,l,mistral
God-is-my-fire,,l,mistral
God-is-my-grace,,l,mistral
God-is-my-judge,,l,mistral
God-is-my-leap,,l,mistral
God-is-my-light,,l,mistral
God-is-my-mystery,,l,mistral
God-is-my-power,,l,mistral
God-is-my-rock,,l,mistral
God-is-my-ruler,,l,mistral
God-is-my-sun,,l,mistral
God-is-my-watchman,,l,mistral
God-is-my-wrath,,l,mistral
God-is-powerful,,l,mistral
God's-cloud,,l,mistral
God-shall-have-mercy,,l,mistral
God's-redeemer,,l,mistral
God's-shooting-star,,l,mistral
God's-star,,l,mistral
Good,,l,mistral
Grace-of-god,,l,mistral
Greenearth,,l,mistral
Harrower,,l,mistral
Healing,,l,mistral
He-has-seen,,l,mistral
Help-from-god,,l,mistral
Help-of-god,,l,mistral
Hemlock,,l,mistral
He-shall-rise,,l,mistral
He-who-despairs,,l,mistral
He-who-laments,,l,mistral
Hidden-by-god,,l,mistral
Holyoak,,l,mistral
Humble,,l,mistral
I-have-asked-god,,l,mistral
I-have-seen,,l,mistral
In-the-shadow-of-god,,l,mistral
Invocation-of-god,,l,mistral
Joy-of-god,,l,mistral
Juniper,,l,mistral
Keeper-of-the-watch,,l,mistral
Knowledge-of-life,,l,mistral
Lament,,l,mistral
Larimer,,l,mistral
Laster,,l,mistral
Latimer,,l,mistral
Lightning-of-god,,l,mistral
Lively,,l,mistral
Livewell,,l,mistral
Mace,,l,mistral
Majesty-of-god,,l,mistral
Man-of-god,,l,mistral
Memory,,l,mistral
Moon-of-god,,l,mistral
Mountain-of-god,,l,mistral
Night,,l,mistral
Oath-of-god,,l,mistral
Orator-of-god,,l,mistral
Painter,,l,mistral
Pepper,,l,mistral
Petra,,l,mistral
Pine,,l,mistral
Pleasant,,l,mistral
Pleased-by-god,,l,mistral
Poplar,,l,mistral
Power-of-god,,l,mistral
Protected-by-god,,l,mistral
Psalm-of-earth,,l,mistral
Purity-of-god,,l,mistral
Quail,,l,mistral
Rain-of-god,,l,mistral
Recompense-of-god,,l,mistral
Reverence-of-god,,l,mistral
Reward-of-god,,l,mistral
Rite-of-earth,,l,mistral
Rock-of-god,,l,mistral
Rod-of-god,,l,mistral
Roper,,l,mistral
Rye,,l,mistral
Sage,,l,mistral
Salter,,l,mistral
Savory,,l,mistral
Seekwisdom,,l,mistral
Seraph-of-god,,l,mistral
Shining-one,,l,mistral
Shire,,l,mistral
Shooting-star-of-god,,l,mistral
Shriver,,l,mistral
Silence,,l,mistral
Sixsmith,,l,mistral
Smallhope,,l,mistral
Soper,,l,mistral
Sorghum,,l,mistral
Sorrel,,l,mistral
Spruce,,l,mistral
Storm-of-god,,l,mistral
Strength-of-god,,l,mistral
Stringer,,l,mistral
Sumac,,l,mistral
Summerblue,,l,mistral
Tarragon,,l,mistral
Teff,,l,mistral
The-helper-of-god,,l,mistral
Threadgold,,l,mistral
Thyme,,l,mistral
To-guard-and-protect,,l,mistral
Treasure-of-life,,l,mistral
Wintergreen,,l,mistral
Wisdom-of-god,,l,mistral
World-of-distortion,,l,mistral
