name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Winee EMPR (limited),mistral_hummingbirdHead,2,0.5,600,600,,25,400,25,50,0,,,,ENERGY,50,,0.5,7.2,3,0.075,,,,,,1000,,,25,,,"FIRE_WHEN_INEFFICIENT,SYSTEM",energy5,,Diable Avionics,,Support,,,,,"%s: Hits on shields while at high hard flux or on hull have a %s chance to arc to weapons and engines, dealing extra EMP damage. ",EMP Arcs|25%,,,,
Variable Rifle A Left,mistral_sparrowLeftArm,,,,600,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
Variable Rifle B Right,mistral_sparrowRightArm,,,,600,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
nightingale L shoulder,mistral_sparrow_shoulderL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
nightingale R shoulder,mistral_sparrow_shoulderR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
Burchel Beam Repeater,mistral_sparrowHead,,,,600,250,,,,75,,12,0.75,3,ENERGY,,,0,0,0.48,0.02,,,,,1000000,,,,,,,"PD,ANTI_FTR,PD_ALSO,SYSTEM","pd9,beam8",,Diable Avionics,,Point Defense,,,,,"%s: Deals %s more damage to fighters and missiles.
",Superior Lenses|25%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#actual weps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimmerman,diableavionics_mistral_infernal_star,3,,4500,700,,200,,500,6,28,20,2,20,HIGH_EXPLOSIVE,166,,0,0.1,999999,0.3,0,30,15,7,,700,,,400,,,"STRIKE, CONSERVE_FOR_ANTI_ARMOR, USE_VS_FRIGATES, PD, PD_ALSO","he18, SR, restricted, no_dealer",,Diable Avionics,,Anti Capital Armor,,,,,Each shell produces 5 additional splinters that deal %s damage and cause %s direct damage to armor. This direct armor damage is not affected by armor damage reduction.,20 Fragmentation | 10,%s,Individual shots can be fired manually for higher rate of fire.,,
Infernal Star2,diableavionics_mistral_infernal_star_dummy,3,,4500,700,,20,,20,6,28,20,2,20,FRAGMENTATION,166,,0,0.1,999999,0.3,0,30,15,7,,700,,,400,,,SYSTEM,,,Diable Avionics,,Anti Capital Armor,,,,,,,,,,
Foura Plasma Lance,diableavionics_mistral_foura,3,0.5,8000,1000,1500,,1000,0,4,30,,,,HIGH_EXPLOSIVE,,2000,0.5,1,1,4,,,,,10000,,,,,,,CONSERVE_FOR_ANTI_ARMOR,"energy20, beam15, LR, restricted, no_dealer",,Diable Avionics,,Anti Armor / Finisher,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#built ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Ice VLS System (DA),diableavionics_esp_kestrel,,,11000,2000,,250,,90,2,15,6,0.6,6,KINETIC,0,,1,1,6,0.25,0,0,0,0,,400,100,999,200,,,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,Diable Avionics,,Suppression,,,,,,,,,,
Discordant VLS System,diableavionics_esp_kestrel_light,,,11000,2000,,250,,90,2,15,4,0.4,4,KINETIC,0,,1,1,4,0.25,0,0,0,0,,400,100,999,200,,,"SYSTEM,DO_NOT_AIM,DO_NOT_CONSERVE,FIRE_WHEN_INEFFICIENT",,,Diable Avionics,,Suppression,,,,,,,,,,
Drift Ice stage 2,diableavionics_esp_kestrel2,,,11000,2000,,250,,90,2,15,1,0.1,1,KINETIC,0,,1,1,1,,0,0,0,0,,400,100,5,200,,,"SYSTEM,DO_NOT_AIM,DIRECT_AIM",,,Diable Avionics,,Suppression,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DECOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISTRAL CORE,mistral_coredeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
MISTRAL UNDER,mistral_coredeco_under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
PANDA LEFT,mistral_panda_ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
PANDA RIGHT,mistral_panda_mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
,mistral_ecmModuleSystem,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,
JETSTREAM LEFT WING,mistral_jetstream_leftwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
JETSTREAM RIGHT WING,mistral_jetstream_rightwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
JETSTREAM TOPCOVER,mistral_jetstream_topcover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
JETSTREAM UNDER RIGHT,mistral_jetstream_under_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
JETSTREAM UNDER LEFT,mistral_jetstream_under_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,999,,
Burchel (long delay),diableavionics_mistral_raven_kaihead,,,,600,250,,,,36,9,9,0.75,2,ENERGY,,,0,0,0.48,0.02,,,,,1000000,,,,,,,"PD,PD_ONLY,SYSTEM",,,,,,,,,,%s: Deals %s more damage to fighters and missiles.,Superior Lenses|25%,,,,
Glowtusk Linear Rifle,diableavionics_mistral_raven_kairight,1,,2250,500,,500,,50,25,11,,,,HIGH_EXPLOSIVE,,,0,2.5,,,3,10,3,1,,850,,,350,,,SYSTEM,,,,,,,,,,,,,,,
Grave HMC,diableavionics_mistral_raven_kaileft,1,,1750,550,,65,,10,30,11,,,,KINETIC,,,0,0.2,1,,1,10,0.5,3,,700,,,100,,,SYSTEM,,,,,,,,,,,,,,,
